store_id,Sales,Year_open,Traffic_count,Food_away_3R,Food_away_5T,Pop_GE_18_3R,Pop_GE_18_5T,Pop_18_21_3R,Pop_18_21_5T,Pop_21_39_3R,Pop_21_39_5T,Pop_40_49_3R,Pop_40_49_5T,Pop_50_69_3R,Pop_50_69_5T,Pop_70_85_3R,Pop_70_85_5T,Likely_customers_1R,Likely_customers_5T,Competitor_A_index,Competitor_B_index,Competitor_C_index,Competitor_D_index,Bakeries_index_1R,Casual_dining_index_1R,Fast_food_index_1R,Low_grocery_index_1R,Mid_grocery_index_1R,Big_box_index_1R,Sandwich_shop_index_1R,Fast_food_8T,Big_box_1R,Pop_Associates_3R,Pop_Associates_5T,Pop_Bachelors_3R,Pop_Bachelors_5T,Pop_Doctorate_3R,Pop_Doctorate_5T,Pop_grades_9_12_3R,Pop_grades_9_12_5T,Pop_grad_school_3R,Pop_grad_school_5T,Pop_in_school_3R,Pop_in_school_5T,Pop_undergrads_3R,Pop_undergrads_5T,Pop_Masters_3R,Pop_Masters_5T,Pop_some_college_3R,Pop_some_college_5T,Tot_HH_Expend_3R,Tot_HH_Expend_5T,Cust_value,Cust_value_per_cap,Cust_value_region,Cust_value_per_cap_region,HHinc_LT_25K_3R,HHinc_LT_25K_5T,HHinc_25_49K_3R,HHinc_25_49K_5T,HHinc_50_74K_3R,HHinc_50_74K_5T,HHinc_75_99K_3R,HHinc_75_99K_5T,HHinc_GE_100K_3R,HHinc_GE_100K_5T,Avg_HHinc_3R,Avg_HHinc_5T,Med_HHinc_3R,Med_HHinc_5T,HH_1person_3R,HH_1person_5T,HH_2person_3R,HH_2person_5T,HH_3person_3R,HH_3person_5T,HH_4person_3R,HH_4person_5T,HH_5person_3R,HH_5person_5T,HH_6person_3R,HH_6person_5T,Brady_Bunch_3R,Brady_Bunch_5T,med_home_value_3R,med_home_value_5T,med_home_value_adj_3R,med_home_value_adj_5T,per_cap_inc_3R,per_cap_inc_5T,labor_blue_3R,labor_blue_5T,labor_farm_3R,labor_farm_5T,labor_white_col_3R,labor_white_col_5T,avg_LOR_3R,Pop_married_3R,Pop_married_5T,Distance_hwy,Distance_hwy_interstate,Distance_interstate,restaurants_3R,retail_3R,restaurants_retail_3R,Asian_HH_3R,Asian_HH_5T,Asian_pop_3R,Asian_pop_5T,Black_HH_3R,Black_HH_5T,Black_pop_3R,Black_pop_5T,Hispanic_HH_3R,Hispanic_HH_5T,Hispanic_pop_3R,Hispanic_pop_5T,HV,south,central,west,HD,free_standing,strip_mall,Big_box_0_5R,Sandwich_shop_8T,All_malls_1R,high_density,Competitor_A_0_5R,Competitor_A_1R,Competitor_B_0_5R,Competitor_B_1R,Competitor_C_0_5R,Competitor_C_1R,Competitor_D_0_5R,Competitor_D_1R,Bakeries_0_5R,Bakeries_1R,Low_grocery_0_5R,Low_grocery_1R,Mid_grocery_0_5R,Mid_grocery_1R,Malls_300K_0_5R,Malls_300K_1R,Universities_0_5R,Universities_1R,Universities_3R,Universities_5T,Universities_8T
11,1475508.779,1978,25123.56,2021.04,1699.16,54329,6173,17030,1140,24950,2784,4718,655,8403,1207,3761,715,1074,764,0,0,0,0,1.249995,2.415169938,6.880880089,0,1.249995,8.749965,0,19,7,1337,167,6970,912,1593,210,1417,133,3058,313,30318,2591,21359,1534,4028,474,5218,690,942582255,117790563,138791.6505,23.66737269,352043.623,58.32932793,10955,1749,4853,654,3054,296,1569,174,3297,385,56596,47833,29141,22721,8188,1478,8109,997,3534,421,2651,228,820,95,279,30,148,10,199777,217342,231401.4839,251747.0045,23501,22310,3433,329,8063,920,21669,2453,9.49,13622,1580,0.284643955,0.284643955,19.59124621,185,336,521,1073,74,3162,179,5052,1087,13174,2283,1263,158,4533,463,1,0,0,1,1,1,0,7,2,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0
12,1150885.825,1978,28912.73,2479.14,2532.01,61634,15672,3754,1191,21475,5426,8561,2087,19295,4834,9601,2414,2542,5066,1.249995,0,0,0,0,0,1.698495763,0,0,0,1.249995,28,0,4006,1117,10906,2761,868,241,3226,842,2156,526,19680,4866,4597,1354,4707,1227,13096,3266,1805850931,460305123,504671.8807,39.53403048,892710.6457,67.76968363,9134,1956,9312,2373,7509,2082,4397,1279,5680,1278,63502,63795,48562,51770,14157,3526,11670,2945,4769,1188,3089,794,1455,342,550,114,342,59,104842,98512,146520.1276,137673.7454,29398,29565,7016,1911,7210,1845,24554,6215,11.6,28344,7031,1.429558446,1.429558446,1.429558446,174,390,564,597,76,1570,245,3292,558,7449,1323,2354,460,7881,1588,1,0,0,1,1,0,1,0,4,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
13,687394.5735,1978,13552.77,2075.47,2124.43,58829,14508,3838,882,24015,5552,9249,2228,16698,4218,6234,1895,1576,2325,0,0,0,0,0,0,10.46013299,0.64536111,0,1.249995,0,25,1,3021,825,4261,1004,166,63,3650,898,336,33,20306,5102,4509,1016,1375,324,13556,3293,1386569124,352600856,358201.7224,33.95313088,657409.7378,60.53568902,11811,2726,11021,2755,5719,1523,2501,676,1907,511,43371,45358,33926,36392,11962,2947,9611,2420,4535,1116,3338,868,2013,485,902,223,599,131,74456,76709,104054.6977,107203.339,18006,18930,12684,3011,7717,1576,14576,3831,11.17,25789,6719,1.601534742,1.601534742,1.62359125,142,424,566,882,204,2838,649,2558,593,6801,1585,4629,992,17363,3701,1,0,1,0,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2
14,632992.7448,1978,29722.77,2446.54,2520.19,98281,11325,8298,647,37426,3830,13392,1769,27788,3679,13531,1597,3973,4137,0,0,0,0,1.163110845,0.269840236,6.806175849,0,0,5.002393987,0,49,9,5862,643,15866,2084,2140,247,4613,459,3928,421,32382,3277,11465,898,8810,981,20559,2486,2700432181,328584291,594775.9225,36.20312364,1199408.876,64.28560186,19156,1937,14523,1739,8985,1281,5260,698,7604,860,56504,58357,37312,42673,22585,2581,17683,2044,7384,928,4673,580,1981,242,761,85,461,54,182993,165440,214305.8497,193749.2679,26466,27513,8873,1117,11797,1346,33902,4146,11.93,35773,4429,0.328230297,0.328230297,0.365652266,414,1100,1514,1428,172,3547,464,1845,199,3942,388,18831,2353,48415,5848,1,0,1,0,1,1,0,3,3,10,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
15,970066.5762,1978,21793.31,2896.77,2941.62,49711,20537,4409,2037,20541,8516,6584,2544,13148,5372,6257,2658,3161,5877,0,0,0,0,0,0.920146042,1.620782013,0,0,2.480209126,0,29,3,2820,1044,5943,2815,216,117,2760,1191,509,327,17317,7061,4712,2269,1707,803,11399,4641,1331056488,569394223,492007.514,38.6539883,1428737.876,101.7369921,7448,3009,8724,3687,5295,2094,2526,1128,2572,1247,53681,57283,40354,41078,7751,3386,8926,3847,4250,1735,3105,1246,1576,619,571,192,386,141,87818,96066,113412.8422,124064.7487,21526,23817,7892,3086,7712,3159,17278,7565,11.67,26547,10752,0.306723618,0.306723618,3.086402321,138,464,602,424,196,1333,617,2143,943,5900,2425,5592,1968,18429,6328,1,0,0,1,1,1,0,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
16,851157.6318,1978,23280.18,3112.75,2965.21,67227,14573,3437,700,25579,5530,9605,2205,19881,4409,9697,1930,3176,4467,1.113789626,0,0,0,2.49999,1.259281537,5.39981407,0,1.117618019,2.236588352,2.363784626,34,2,3400,728,13251,2882,778,179,3526,687,1781,268,20114,4134,4909,969,4402,931,13213,2867,2100151647,465740267,491861.6668,30.41489444,1474613.928,80.67130396,10270,2962,10131,2164,6833,1437,3647,769,7849,1677,78146,71478,46617,40703,15597,3855,12136,2748,4743,1095,3403,718,1701,366,716,136,437,92,151368,170650,195484.6968,220386.4985,35598,35129,7591,1419,8570,2380,24285,4927,10.9,31102,6282,0.0160141,0.0160141,0.403397348,221,558,779,782,160,1735,319,4229,1739,9408,3679,7067,1588,23242,4788,1,0,0,1,1,0,1,2,7,11,1,1,1,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0
17,777584.2251,1978, ,2835.25,2816.2,45656,9679,5206,1135,17266,3975,6693,1516,11787,2338,5953,974,1921,2404,0,0,0,0,0,0,1.709689516,0,0,1.088570223,0.523600736,39,2,2643,517,5574,858,154,28,3047,654,361,45,17259,3569,4387,954,1844,364,8427,1518,1085506593,220964170,284414.4802,31.20381195,809241.0676,82.6958491,7472,1644,6132,1316,3557,664,1992,426,2712,464,57206,52710,37744,35063,6348,1409,6442,1233,3372,657,2659,534,1613,334,776,174,658,173,96803,87726,125016.5498,113294.0285,20815,19415,7193,1888,7401,1665,14154,2554,12.47,21114,4308,0.022519601,0.022519601,7.636674556,178,448,626,197,24,592,66,6264,888,17042,2589,4929,1460,20658,5849,1,0,1,0,1,0,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,1376396.113,1978,22556.38,3045.23,2923.42,48825,7194,4075,1321,17685,2832,6666,649,14744,1678,6748,1028,1975,1716,1.063740225,0,0,0,1.069142534,6.114914881,5.963379024,0.109273979,0,13.60264025,1.665335587,25,23,2693,352,6878,1014,339,50,3076,338,1135,155,16799,2624,3768,1296,2358,320,10777,1427,1405967880,193754980,341531.3385,40.09434906,1045359.42,104.6003763,7643,1044,7379,1173,4692,523,2793,358,4170,692,64488,69062,43652,42701,8714,1559,8783,1259,4083,467,2971,322,1380,123,461,42,284,18,104626,134535,135119.5886,173745.6641,27388,31538,6355,717,6384,877,17716,2653,11.18,24500,2906,1.065775681,1.065775681,3.279190179,138,367,505,545,115,1627,289,1924,539,4542,1131,3783,343,12524,1067,1,0,0,1,1,0,1,9,2,8,1,1,1,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,1,1,1,1
19,1637036.778,1978,4900.28,3658.94,3398.79,80528,11749,2861,303,38335,6110,13403,1739,20471,2691,6189,989,3923,4172,0.92530544,0,0,0.662183176,0.961742837,2.032560602,3.116678425,0,1.591819384,3.924171131,1.587488616,51,9,4180,534,25206,3997,2256,354,3229,284,2996,510,21327,2553,5925,850,11074,1578,14562,2054,2992229387,438444726,940827.6166,28.49600417,2834778.281,69.86073634,6959,1315,11223,1965,9361,1602,6516,952,13754,1721,91815,79660,65060,56732,19838,3640,15710,2502,6015,790,4194,453,1407,129,427,34,224,7,263221,259492,339937.6181,335121.7889,44831,44003,5665,592,7024,961,48464,7425,8.66,36781,4820,0.005720207,0.005720207,4.160659834,243,627,870,4631,629,11645,1370,2882,376,6050,709,7734,1078,19595,2257,1,0,0,1,1,1,0,1,12,5,1,1,1,0,0,0,0,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0
20,1293872.293,1978,16274.72,3282.14,3092.04,94859,15477,6830,1134,35779,6013,14688,2207,28560,4603,10910,1864,5087,5205,0,0,0,0,0,0.387916461,1.00443642,0,1.249995,0.273553489,0,44,1,6794,1184,10511,1466,870,50,6388,658,1717,172,35807,5284,7918,1500,4762,707,22486,4245,2724629788,422528375,600525.1121,38.39276717,1548035.462,82.70089122,11589,2244,12053,2066,10099,1595,6076,896,8357,1089,66841,59131,51022,44871,12621,2096,15088,2603,8265,1322,6347,976,3458,496,1518,258,874,141,124290,118170,160514.7255,152611.0315,25461,22829,14786,2245,14004,2389,39149,6610,13.2,47393,7425,0.825717497,0.825717497,6.027664967,267,647,914,883,117,2431,246,2066,466,5411,1189,29010,5137,85954,14688,1,0,0,1,1,0,1,0,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
